OBJECTID,TreeID,DataProvider,District,Street,AreaGroup,TreeType,PlantingYear,PlantingYear_txt,TrunkSize,TrunkSize_txt,TreeHeight,TreeHeight_txt,TreeCrownDiameter,TreeCrownDiameter_txt,TreeNumber
394119295,287508,magistrat,1,Dr.-Karl-Renner-Ring,"MA 28 - Straße, Grünanlage",Celtis australis (Südlicher Zürgelbaum),2017,"2017",28,28 cm,2,6-10 m,1,0-3 m,"5007"
394119296,234096,magistrat,1,Dr.-Karl-Renner-Ring,"MA 28 - Straße, Grünanlage",Celtis australis (Südlicher Zürgelbaum),2014,"2014",34,34 cm,2,6-10 m,2,4-6 m,"4023"
394119302,180652,magistrat,1,Opernring,"MA 28 - Straße, Grünanlage",Celtis australis (Südlicher Zürgelbaum),2010,"2010",47,47 cm,3,11-15 m,2,4-6 m,"4018"
394118338,3711,magistrat,1,Haarhof,"MA 28 - Straße, Grünanlage",Tilia platyphyllos (Sommerlinde),1968,"1968",133,133 cm,3,11-15 m,3,7-9 m,"2001"
394118339,5203,magistrat,1,Irisgasse,"MA 28 - Straße, Grünanlage",Acer platanoides 'Globosum' (Kugelspitzahorn),2000,"2000",48,48 cm,1,0-5 m,2,4-6 m,"2002"
394118345,156266,magistrat,1,Freyung,"MA 28 - Straße, Grünanlage",Platanus x acerifolia (Ahornblättrige Platane),1945,"1945",174,174 cm,4,16-20 m,5,13-15 m,"1005"
394119307,170479,magistrat,1,Opernring,"MA 28 - Straße, Grünanlage",Tilia cordata 'Greenspire' (Stadtlinde),2009,"2009",52,52 cm,3,11-15 m,2,4-6 m,"4015"
394119311,194955,magistrat,1,Opernring,"MA 28 - Straße, Grünanlage",Celtis australis (Südlicher Zürgelbaum),2012,"2012",61,61 cm,3,11-15 m,2,4-6 m,"4014"
394119312,2165,magistrat,1,Dr.-Karl-Renner-Ring,"MA 28 - Straße, Grünanlage",Tilia x vulgaris (Holländische Linde),1991,"1991",80,80 cm,3,11-15 m,2,4-6 m,"4021"
394119313,343222,magistrat,1,Dr.-Karl-Renner-Ring,"MA 28 - Straße, Grünanlage",Jungbaum wird gepflanzt,0,nicht definiert,0,nicht bekannt,0,nicht bekannt,0,nicht bekannt,"4015"
394119316,9476,magistrat,1,Opernring,"MA 28 - Straße, Grünanlage",Acer platanoides (Spitzahorn),2005,"2005",38,38 cm,2,6-10 m,2,4-6 m,"4012"
394119318,264298,magistrat,1,Dr.-Karl-Renner-Ring,"MA 28 - Straße, Grünanlage",Celtis australis (Südlicher Zürgelbaum),2015,"2015",49,49 cm,2,6-10 m,2,4-6 m,"4013"
394119319,200445,magistrat,1,Dr.-Karl-Renner-Ring,"MA 28 - Straße, Grünanlage",Celtis australis (Südlicher Zürgelbaum),2013,"2013",41,41 cm,2,6-10 m,2,4-6 m,"4012"
394119322,287510,magistrat,1,Dr.-Karl-Renner-Ring,"MA 28 - Straße, Grünanlage",Celtis australis (Südlicher Zürgelbaum),2017,"2017",35,35 cm,2,6-10 m,2,4-6 m,"4011"
394119324,170417,magistrat,1,Opernring,"MA 28 - Straße, Grünanlage",Acer pseudoplatanus 'Atropurpureum' (Purpurner Bergahorn),1985,"1985",86,86 cm,3,11-15 m,3,7-9 m,"4010"
394119327,328006,magistrat,1,Dr.-Karl-Renner-Ring,"MA 28 - Straße, Grünanlage",Celtis australis (Südlicher Zürgelbaum),2018,"2018",22,22 cm,2,6-10 m,1,0-3 m,"4010"
394119334,179961,magistrat,1,Dr.-Karl-Renner-Ring,"MA 28 - Straße, Grünanlage",Celtis australis (Südlicher Zürgelbaum),2010,"2010",46,46 cm,2,6-10 m,2,4-6 m,"4009"
394119350,233900,magistrat,1,Opernring,"MA 28 - Straße, Grünanlage",Celtis australis (Südlicher Zürgelbaum),2014,"2014",49,49 cm,3,11-15 m,2,4-6 m,"4008"
394119356,200444,magistrat,1,Dr.-Karl-Renner-Ring,"MA 28 - Straße, Grünanlage",Celtis australis (Südlicher Zürgelbaum),2013,"2013",48,48 cm,2,6-10 m,2,4-6 m,"4003"
394119357,264297,magistrat,1,Dr.-Karl-Renner-Ring,"MA 28 - Straße, Grünanlage",Celtis australis (Südlicher Zürgelbaum),2018,"2018",30,30 cm,2,6-10 m,1,0-3 m,"4002"
394119361,200443,magistrat,1,Dr.-Karl-Renner-Ring,"MA 28 - Straße, Grünanlage",Celtis australis (Südlicher Zürgelbaum),2013,"2013",52,52 cm,2,6-10 m,2,4-6 m,"4001"
394119367,200457,magistrat,1,Opernring,"MA 28 - Straße, Grünanlage",Celtis australis (Südlicher Zürgelbaum),2013,"2013",54,54 cm,3,11-15 m,2,4-6 m,"4004"
394119368,9465,magistrat,1,Opernring,"MA 28 - Straße, Grünanlage",Platanus x acerifolia (Ahornblättrige Platane),1890,"1890",302,302 cm,6,26-30 m,6,16-18 m,"4001"
394118922,223976,magistrat,1,"01., Schillerpark, MA42",MA 42 - Parkanlage,Koelreuteria paniculata (Blasenbaum),0,nicht definiert,281,281 cm,3,11-15 m,4,10-12 m,"30"
394118923,223955,magistrat,1,"01., Schillerpark, MA42",MA 42 - Parkanlage,Pinus nigra nigra (Österreichische Schwarzkiefer),0,nicht definiert,139,139 cm,3,11-15 m,3,7-9 m,"9"
394118931,170418,magistrat,1,Opernring,"MA 28 - Straße, Grünanlage",Tilia cordata 'Greenspire' (Stadtlinde),2009,"2009",49,49 cm,3,11-15 m,2,4-6 m,"4017"
394119391,171976,magistrat,1,Dr.-Karl-Renner-Ring,"MA 28 - Straße, Grünanlage",Celtis australis (Südlicher Zürgelbaum),2009,"2009",51,51 cm,2,6-10 m,2,4-6 m,"3035"
